g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,Class
-161.8,34.8,-34.4,179.1,41796.7,115.6,-90.9,58786.1,33123.1,-161.1,224.8,543.4,553.3,258.5,ALL
-231,-102,-31,61,8931,159,-71,11987,30918,-293,28,977,3849,375,ALL
-279,91,-30,148,13966,-3,-86,33933,36121,-186,34,118,678,203,ALL
-20,115,-10,29,12994,181,-136,12087,35378,-214,39,38,999,9,ALL
-268,128,80,337,10895,146,-96,23603,40302,-216,155,609,1005,385,ALL
-370,10,22,153,15493,84,-117,16300,40460,-310,173,653,3293,475,ALL
-50,30,35,14,11677,34,-69,24333,34299,-229,67,171,404,-107,ALL
-455,-91,12,76,13701,66,-89,19977,37270,-205,-6,517,2679,460,ALL
-105,12,18,81,21914,152,-156,31039,29460,-417,142,269,334,3,ALL
-377,270,52,195,13842,277,-156,11288,36384,-259,195,841,3561,954,ALL
-479,187,41,191,3998,88,-191,13944,32759,-308,153,349,257,-196,ALL
-182,44,75,311,16362,79,-95,18633,41398,-214,99,198,800,186,ALL
-46,104,45,313,14914,9,-182,26351,39116,-242,-120,413,1339,-2,ALL
-224,24,17,189,12325,279,-205,17814,38062,-342,58,449,363,-7,ALL
66,0,39,181,17368,233,-30,24107,32703,-298,-42,143,-61,-189,ALL
-305,-146,50,13,17219,188,-126,14431,38081,-264,-8,202,1375,81,ALL
-350,-169,29,91,12939,147,-108,10398,32817,-326,80,1095,881,388,ALL
-211,42,25,48,17572,72,-154,17857,35099,-172,25,445,1610,110,ALL
-409,52,50,144,12989,201,-98,17982,39824,-112,56,250,445,31,ALL
-170,-98,-48,445,11605,315,-76,19208,45706,-273,-5,678,224,210,ALL
-76,54,4,68,6006,143,-10,16207,39357,-351,197,392,1314,267,MLL
47,74,47,88,4552,-20,-43,21867,43653,-195,75,302,1652,16,MLL
-192,42,31,139,6182,257,-158,15383,38086,-235,40,670,148,123,MLL
78,72,-26,147,14052,69,-89,27127,38279,-254,-141,201,247,209,MLL
-298,213,-5,68,13216,60,-72,18257,42812,-221,71,99,805,-54,MLL
-82,89,-18,67,13159,93,-99,27335,44177,-335,-21,-231,-23,100,MLL
18,258,31,135,14220,37,-84,32489,39939,-532,-21,296,-12,24,MLL
-71,89,21,56,18102,195,-84,23557,35424,-171,10,469,897,115,MLL
-127,104,6,58,28970,114,-21,45126,28695,-341,76,364,1042,153,MLL
-496,101,-77,216,7356,85,-159,16922,41283,-405,102,574,985,184,MLL
-252,-232,-32,-14,28593,-29,-121,27955,45491,-290,68,851,519,160,MLL
218,110,-23,228,10620,147,-185,26229,24528,-387,65,429,306,294,MLL
-271,-27,76,101,15859,215,-124,20891,36352,-421,-99,616,1305,148,MLL
-178,218,69,102,22738,19,-167,22832,36184,-312,127,354,1134,239,MLL
-189,-108,-1,39,9226,198,-158,16389,33640,-440,79,561,350,341,MLL
-353,-126,-14,127,6579,253,-109,25371,33518,-346,81,349,545,-155,MLL
-273,-105,59,157,11206,-36,-202,18810,44067,-315,83,1105,948,-59,MLL
-336,-49,4,619,18422,131,-212,26257,44220,-371,77,839,1141,236,AML
-288,-106,135,301,25897,255,-95,36685,24285,-569,-41,445,679,163,AML
-195,71,82,367,13051,30,-133,23416,47472,-388,57,907,2196,-88,AML
16,160,-5,445,80348,210,-132,32201,43536,-635,8,529,1242,182,AML
-166,-1,120,307,25025,287,-50,34717,47115,-413,37,307,1199,361,AML
36,7,2,217,20771,137,-162,27154,39426,-672,-41,886,3022,341,AML
-308,401,101,64,23002,232,-232,26959,35229,-466,32,703,379,-153,AML
147,43,-2,202,37354,144,-140,32545,11398,-306,30,326,1304,56,AML
-56,102,83,245,19576,155,-123,22828,48993,-346,123,836,2430,-69,AML
-522,119,30,489,12817,234,-356,25358,44156,-537,110,635,741,-512,AML
-115,9,102,374,28131,18,-102,28874,44419,-433,67,1174,662,230,AML
-231,74,-15,681,13201,256,-153,20672,45439,-224,41,580,2350,37,AML
-196,-3,-154,183,15404,1,-245,21006,41798,-364,-70,1157,4240,904,AML
-189,102,25,406,20865,143,-198,34254,36836,40,-15,946,1419,348,AML
-69,6,146,438,26238,273,-213,35876,41753,-612,85,1102,1659,594,AML
-455,201,17,171,18003,237,-332,25655,37999,-344,105,1636,4749,415,AML
-146,144,63,380,21192,172,-243,26730,44464,-576,-159,1041,1379,443,AML
-196,205,58,167,15538,68,-145,25384,47272,-269,21,436,1148,72,AML
-184,103,35,33,19247,240,-269,21522,45592,-351,-8,1311,3976,-4,AML
-71,6,122,270,79983,236,-321,31204,34463,-736,-79,519,1103,-299,AML
